"ID","DONATION_MD5_HASH","DONATION_CONTACT_ID","DONATION_TIMESTAMP","DONATION_TARGET","DONATION_CURRENCY","DONATION_AMOUNT","STATUS"
"a064E000004DTDVQA4","2-ae71f7d51799181122bdc1adba51c362","2","2013-04-07T23:00:00.000Z","a0758000002kNNlAAM","GBP","2500","Item Created"
"a064E000004DTDWQA4","2-7131c53ab1f7cb98e1aea393ead33d96","2","2013-12-31T08:00:00.000Z","a0758000002kNNlAAM","GBP","1333.33","Item Created"
"a064E000004DTDXQA4","2-cb0fc8b84d5674bf47974e093fdf92e6","2","2013-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","966.67","Item Created"
"a064E000004DTDYQA4","2-88d5b88b09bda04f3590ffe0f4af2c3e","2","2012-01-01T08:00:00.000Z","a0758000002kNDHAA2","GBP","8750","Item Created"
"a064E000004DTDZQA4","2-66080812b8701ce5b9c13f0446206462","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","12.57","Item Created"
"a064E000004DTDaQAO","2-15481168de639fd87aa278156e8a8383","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","65.52","Item Created"
"a064E000004DTDbQAO","2-7a4b5cf8dc4c9b227d7e38d3a6128c5e","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","106.25","Item Created"
"a064E000004DTDcQAO","2-e15cb0fb9dc01f24053de226cb993263","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","2065.66","Item Created"
"a064E000004DTDdQAO","2-76d253d2a8c6caba7de959f6f6541d97","2","2011-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","2434.34","Item Created"
"a064E000004DTDeQAO","2-40a0c41adb9ffb176ecb7d84ee9aaa25","2","2011-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","3408","Item Created"
"a064E000004DTDfQAO","2-f66a73687386ba69effc1929a5e55612","2","2014-12-31T08:00:00.000Z","a0758000002kNNlAAM","GBP","966.75","Item Created"
"a064E000004DTDgQAO","2-bbd9d47f8d00ea3f67d32bd366a46cde","2","2015-12-01T08:00:00.000Z","a0758000002kNDHAA2","CAD","201","Item Created"
"a064E000004DTDhQAO","2-96a8019bb1f851fdc4ef8c370ae3fcb7","2","2015-12-01T08:00:00.000Z","a0758000002kNDHAA2","CAD","2324","Item Created"
"a064E000004DTDiQAO","7-16d7c0e65fe6428cf8236c3e10831140","7","2012-10-30T00:00:00.000Z","a0758000002kNDHAA2","GBP","30","Item Created"
"a064E000004DTDjQAO","7-f8c9440f106633e55d0023e0521f853f","7","2013-02-21T00:00:00.000Z","a0758000002kNDHAA2","GBP","750","Item Created"
"a064E000004DTDkQAO","7-70a30abc8eb27aa5693ef76f537d4a77","7","2013-05-07T23:00:00.000Z","a0758000002kNDHAA2","GBP","50","Item Created"
"a064E000004DTDlQAO","7-3ba2de929a438ea389f6808a9eb9f114","7","2012-04-22T23:00:00.000Z","a0758000002kNNlAAM","GBP","40","Item Created"
"a064E000004DTDmQAO","7-ee0e44555a06b8cdc4cfe4d76a6851ff","7","2013-02-08T00:00:00.000Z","a0758000002kNNlAAM","GBP","35","Item Created"
"a064E000004DTDnQAO","7-9c8a3c9882ba2acd2989b3de9f7280f6","7","2013-04-14T23:00:00.000Z","a0758000002kNNlAAM","GBP","137.5","Item Created"
"a064E000004DTDoQAO","7-d73800f143a3619787e098fac386ee5d","7","2014-01-26T00:00:00.000Z","a0758000002kNNlAAM","GBP","501.94","Item Created"
"a064E000004DTDpQAO","7-2358e76e58852c50e101fd4b4bf30a32","7","2014-03-25T00:00:00.000Z","a0758000002kNNlAAM","GBP","40","Item Created"
"a064E000004DTDqQAO","7-469f4f9b24e82cd52f25b095e08af4bc","7","2014-04-26T23:00:00.000Z","a0758000002kNNlAAM","GBP","60","Item Created"
"a064E000004DTDrQAO","7-80d2497d09d9be9a7d6dd1ae7a94d35b","7","2014-08-04T23:00:00.000Z","a0758000002kNF9AAM","GBP","5000","Item Created"
"a064E000004DTDsQAO","7-238aa807891cb902b916fe9a8ba90da2","7","2014-12-15T00:00:00.000Z","a0758000002kNHwAAM","GBP","1934.59","Item Created"
"a064E000004DTDtQAO","7-d3c75d3a3af6b207a3d712443ef9995a","7","2014-12-15T00:00:00.000Z","a0758000002kNNlAAM","GBP","132.48","Item Created"
"a064E000004DTDuQAO","7-ebebdc3ad0255cf85be66e5d5a434b71","7","2014-12-15T00:00:00.000Z","a0758000002kNH4AAM","GBP","2152.21","Item Created"
"a064E000004DTDvQAO","7-eb1085c9886f50cdd7164a56bde4489e","7","2015-02-05T00:00:00.000Z","a0758000002kNH4AAM","GBP","93","Item Created"
"a064E000004DTDwQAO","7-11b83168862bb5590c3f4c336d6072f5","7","2015-02-05T00:00:00.000Z","a0758000002kNNlAAM","GBP","125.64","Item Created"
"a064E000004DTDxQAO","7-40134759bcf80b0e9c106720fce190f5","7","2015-02-05T00:00:00.000Z","a0758000002kNHwAAM","GBP","242.56","Item Created"
"a064E000004DTDyQAO","7-e79c2c092e6a09fff6ae40eb9536494f","7","2015-02-05T00:00:00.000Z","a0758000002kNDHAA2","GBP","9675.92","Item Created"
"a064E000004DTDzQAO","7-e74d2f45ba0d86a608d76515e0f729cf","7","2015-04-19T23:00:00.000Z","a0758000002kNGHAA2","GBP","60","Item Created"
"a064E000004DTE0QAO","51-df9be7f0fc10f5a94b2a83ebc5b56f46","51","2013-10-21T06:00:00.000Z","a0758000002kNDHAA2","EUR","400","Item Created"
"a064E000004DTE1QAO","51-a1b2bfaeda974ec406c9e821f7272bea","51","2013-11-15T07:00:00.000Z","a0758000002kNDHAA2","EUR","400","Item Created"
"a064E000004DTE2QAO","51-f686d9c9beacd5f2f9885fd8bf2019c5","51","2014-02-17T07:00:00.000Z","a0758000002kNDHAA2","EUR","200","Item Created"
"a064E000004DTE3QAO","51-b35cdd836e8834f8284aa154cfd0ad50","51","2013-12-31T07:00:00.000Z","a0758000002kNHwAAM","USD","825","Item Created"
"a064E000004DTE4QAO","51-33ed0407d40d9e4ffc4e499c0a8e8f06","51","2014-10-15T06:00:00.000Z","a0758000002kNDHAA2","CAD","1800","Item Created"
"a064E000004DTE5QAO","51-3c51862547e005a24bc7c10e8f5027e4","51","2014-12-31T07:00:00.000Z","a0758000002kNDHAA2","CAD","2700","Item Created"
