"ID","DONATION_MD5_HASH","DONATION_CONTACT_ID","DONATION_TIMESTAMP","DONATION_TARGET","DONATION_CURRENCY","DONATION_AMOUNT","STATUS"
"a064E000004DVejQAG","71-5538b82a6648ad140b638cb24a46058b","71","2014-02-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVekQAG","71-dc2a2b361af044ff2ce032173cb52e3a","71","2014-03-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVelQAG","71-c717fb96721568fa6e7828ec2c28e890","71","2014-03-31T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVemQAG","71-95cea4549790cd51109cfa707d7ab30d","71","2014-04-30T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVenQAG","71-78dacb414924425d755e205b0444b979","71","2013-01-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVeoQAG","71-c9be3074de29d00adb225b8196342e7a","71","2013-02-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVepQAG","71-c38169545d367defa980cb220549c20d","71","2013-03-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVeqQAG","71-83f9a99e4aa0c6ce29df5c0700140f09","71","2013-03-31T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVerQAG","71-d75d9efcd555db73683d5db6f9005b64","71","2013-04-30T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVesQAG","71-f26120f35e3d5a6875fc25d9824ffe4a","71","2013-05-31T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVetQAG","71-cac313fd8a9b87687649f57327df5023","71","2013-06-30T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVeuQAG","71-d0c7c3e6203d439c2e7708446afbfd2b","71","2013-07-31T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVevQAG","71-38898bab491cda5b081968979415c99d","71","2013-08-31T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVewQAG","71-03dcee06639bbed94f7040ea5901c34d","71","2013-09-30T23:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVexQAG","71-5a82995bbf5a8465bbba1c0adee02269","71","2013-11-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVeyQAG","71-924295376b572cf5d26683b0ef5e6f41","71","2013-12-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","50","Item Created"
"a064E000004DVezQAG","71-cbe001eec3e5a3f7621eeaa678810d4f","71","2013-05-08T23:00:00.000Z","a0758000002kNNlAAM","GBP","250","Item Created"
"a064E000004DVf0QAG","71-d8c93c3e653e9ad32dce0ee9c8d8b8f6","71","2013-12-31T00:00:00.000Z","a0758000002kNDHAA2","GBP","31.25","Item Created"
"a064E000004DVf1QAG","71-d40c1b1b04f667fb63eff35173d0652f","71","2013-12-31T00:00:00.000Z","a0758000002kNNlAAM","GBP","31.25","Item Created"
"a064E000004DVf2QAG","71-bba488b8f05284ca7ecf45f2971c0c30","71","2013-12-31T00:00:00.000Z","a0758000002kNGHAA2","GBP","31.25","Item Created"
"a064E000004DVf3QAG","71-a94d5f570dd203d77237d2bb56d4eb88","71","2013-12-31T00:00:00.000Z","a0758000002kNMyAAM","GBP","31.25","Item Created"
"a064E000004DVf4QAG","71-e856c55bcb62f04f5460b3ba2259112f","71","2015-12-31T00:00:00.000Z","a0758000002kNDHAA2","GBP","1562.5","Item Created"
"a064E000004DVf5QAG","71-bb42a1b11ca3050378d2004f870886da","71","2015-12-31T00:00:00.000Z","a0758000002kNNlAAM","GBP","1562.5","Item Created"
"a064E000004DVf6QAG","71-927a0963238960ccd646b4eb1c0fbcbb","71","2015-12-31T00:00:00.000Z","a0758000002kNGHAA2","GBP","1562.5","Item Created"
"a064E000004DVf7QAG","71-0142a4e3f0aaff862de351476cabdde7","71","2016-02-28T00:00:00.000Z","a0758000002kNMyAAM","GBP","1562.5","Item Created"
"a064E000004DVf8QAG","72-a8b72e51d1df5875302e4895edecbade","72","2014-05-25T08:00:00.000Z","a0758000002kNFvAAM","USD","2400","Item Created"
"a064E000004DVf9QAG","72-90871a585d4a0e9eaa0ba4c82a5b1e92","72","2013-07-13T23:00:00.000Z","a0758000002kNFtAAM","USD","9425","Item Created"
"a064E000004DVfAQAW","72-f28c7e146759b978119fd6631794bbaf","72","2012-07-13T23:00:00.000Z","a0758000002kNFtAAM","USD","9625","Item Created"
"a064E000004DVfBQAW","72-b11bb503541d1be45c8c104dbf3c0de5","72","2013-07-13T23:00:00.000Z","a0758000002kNMBAA2","USD","800","Item Created"
"a064E000004DVfCQAW","72-7c6ac406048e7b99b5000fee5e6aee04","72","2014-03-16T00:00:00.000Z","a0758000002kNPIAA2","USD","2900","Item Created"
"a064E000004DVfDQAW","72-13b93bac45e8f39844ca31520f417fe0","72","2014-03-16T00:00:00.000Z","a0758000002kNMRAA2","USD","4175","Item Created"
"a064E000004DVfEQAW","72-0b8272aedc01b9fdee388eeb0b992670","72","2014-03-16T00:00:00.000Z","a0758000002kNHyAAM","USD","3600","Item Created"
"a064E000004DVfFQAW","72-aa2dbaf0561adcfcd8f5ff15ad5a28ad","72","2014-03-16T00:00:00.000Z","a0758000002kNFuAAM","USD","6125","Item Created"
"a064E000004DVfGQAW","55-a8657f231bdc560299672854aa5af94a","55","2014-03-01T00:00:00.000Z","a0758000002kNNlAAM","GBP","100","Item Created"
"a064E000004DVfHQAW","55-b778433a989b48e59d0f9839633f119f","55","2013-11-14T23:00:00.000Z","a0758000002kNDHAA2","GBP","20","Item Created"
"a064E000004DVfIQAW","55-d5748ca9e45bd95921d37add5ae6a082","55","2013-03-07T23:00:00.000Z","a0758000002kNDHAA2","GBP","100","Item Created"
"a064E000004DVfJQAW","55-7c8def09af21769e220a6434ea762b71","55","2012-10-06T22:00:00.000Z","a0758000002kNDHAA2","GBP","50","Item Created"
"a064E000004DVfKQAW","55-9cce8fdcd76c5e523cdfa106259ec610","55","2012-01-14T23:00:00.000Z","a0758000002kNDHAA2","GBP","20","Item Created"
"a064E000004DVfLQAW","55-bcc08a4ecafdd554c16f1c6ad8771920","55","2011-11-22T23:00:00.000Z","a0758000002kNNlAAM","GBP","20","Item Created"
"a064E000004DVfMQAW","55-c93de171914a179b02db9ce8969761ba","55","2014-05-20T22:00:00.000Z","a0758000002kNHiAAM","GBP","147","Item Created"
"a064E000004DVfNQAW","55-4dd99b5c93a65c7aa6dd2749e9be71f7","55","2014-05-29T16:43:02.000Z","a0758000002kNDHAA2","USD","2.5","Item Created"
"a064E000004DVfOQAW","55-34b1f4e62f63e11e220a58b46d41c23a","55","2014-05-29T16:43:02.000Z","a0758000002kNNlAAM","USD","2.5","Item Created"
"a064E000004DVfPQAW","55-1618d5bf289abc54db4344741bb22191","55","2014-05-29T16:43:02.000Z","a0758000002kNGHAA2","USD","2.5","Item Created"
"a064E000004DVfQQAW","55-8af71bb2b3847c08d3a27dd2aef5ff48","55","2014-05-29T16:43:02.000Z","a0758000002kNMyAAM","USD","2.5","Item Created"
"a064E000004DVfRQAW","55-bcb48006b73a3ba23f355385299a6e5f","55","2014-07-05T22:00:00.000Z","a0758000002kNGHAA2","GBP","10","Item Created"
"a064E000004DVfSQAW","55-fadf44ab3d0b2c70442da4543e9f4a1e","55","2014-07-05T22:00:00.000Z","a0758000002kNDHAA2","GBP","25","Item Created"
"a064E000004DVfTQAW","55-a0a297aad89c11d9ddf044be209824b8","55","2016-04-14T23:00:00.000Z","a0758000002kNClAAM","GBP","1425","Item Created"
"a064E000004DVfUQAW","77-aa87daba7ae4efa87ca83f2b9e3cd526","77","2014-04-03T23:00:00.000Z","a0758000002kNGGAA2","USD","3000","Item Created"
"a064E000004DVfVQAW","77-a9ea03ddd6ae30e51d1529e75ef716f7","77","2013-04-03T23:00:00.000Z","a0758000002kNDHAA2","USD","11111","Item Created"
"a064E000004DVfWQAW","77-55f6633c88e481b4522633e9045f7e1d","77","2014-04-04T16:44:15.000Z","a0758000002kNDHAA2","GBP","3000","Item Created"
"a064E000004DVfXQAW","77-cf5ef4e43599764ef5bc892dffe8b946","77","2014-04-04T16:44:16.000Z","a0758000002kNGGAA2","GBP","3000","Item Created"
"a064E000004DVfYQAW","86-89495edb187b4b92e23148ba79dcedf0","86","2014-04-03T23:00:00.000Z","a0758000002kNNlAAM","GBP","20","Item Created"
"a064E000004DVfZQAW","86-9416e729e9d87e7a4796be1e2657ea0f","86","2014-11-12T00:00:00.000Z","a0758000002kNDHAA2","GBP","50","Item Created"
"a064E000004DVfaQAG","86-e434529b4077d2bb3ae66c9fe37d8b7a","86","2015-02-07T00:00:00.000Z","a0758000002kNNlAAM","GBP","200","Item Created"
"a064E000004DVfbQAG","87-6ed3b4c40603c2173c2cb6e788b9a580","87","2013-10-06T23:00:00.000Z","a0758000002kNDHAA2","GBP","2500","Item Created"
"a064E000004DVfcQAG","87-4e8a7f9ddff2d79e9cf6082af300b44a","87","2013-11-07T00:00:00.000Z","a0758000002kNDHAA2","GBP","2500","Item Created"
"a064E000004DVfdQAG","87-21250893f09677980ff28cfd2342c489","87","2013-12-09T00:00:00.000Z","a0758000002kNDHAA2","GBP","2500","Item Created"
"a064E000004DVfeQAG","87-49214cbde922c405b175b29e0fbbf17c","87","2014-01-02T00:00:00.000Z","a0758000002kNHwAAM","GBP","2500","Item Created"
"a064E000004DVffQAG","87-bb51e927f339785a6bf556ae2a4b1ceb","87","2014-01-18T00:00:00.000Z","a0758000002kNHwAAM","GBP","6875","Item Created"
"a064E000004DVfgQAG","87-a777315102767561f14dd4e6b3d884b8","87","2014-02-02T00:00:00.000Z","a0758000002kNHwAAM","GBP","2500","Item Created"
"a064E000004DVfhQAG","87-2b3b414ddc6b8d0e58605ee6bed6295f","87","2014-03-28T00:00:00.000Z","a0758000002kNHwAAM","GBP","2500","Item Created"
"a064E000004DVfiQAG","87-62304403f45005d4cbe5fdd4de3a635b","87","2014-04-01T23:00:00.000Z","a0758000002kNHwAAM","GBP","2500","Item Created"
"a064E000004DVfjQAG","87-5f3e09f0ff45e469154d2d87fd76d1c3","87","2014-03-02T00:00:00.000Z","a0758000002kNHwAAM","GBP","2500","Item Created"
"a064E000004DVfkQAG","87-fb72c5de54e3fb0ed21b0bd0e13a6192","87","2014-04-11T23:00:00.000Z","a0758000002kNCqAAM","GBP","10000","Item Created"
"a064E000004DVflQAG","87-7663c03926c602a6b52dfa23626077c7","87","2014-05-01T23:00:00.000Z","a0758000002kNHwAAM","GBP","2500","Item Created"
"a064E000004DVfmQAG","87-5440f7eb26665a01a00df527c66263e9","87","2014-05-16T23:00:00.000Z","a0758000002kNCqAAM","GBP","10000","Item Created"
"a064E000004DVfnQAG","87-ccdb2c7a5c7b5ce80d01f0e2352879c9","87","2014-06-01T23:00:00.000Z","a0758000002kNHwAAM","GBP","1250","Item Created"
"a064E000004DVfoQAG","87-9042f0406b72223eac566a0430e54eae","87","2014-08-29T23:00:00.000Z","a0758000002kNCqAAM","GBP","12500","Item Created"
"a064E000004DVfpQAG","87-0300f49d8fd1f013dc79e7be529549cd","87","2015-03-12T00:00:00.000Z","a0758000002kNDHAA2","GBP","44870","Item Created"
"a064E000004DVfqQAG","87-8ce736c35dc8a2a81068d59adf69bea1","87","2015-02-15T00:00:00.000Z","a0758000002kNDHAA2","GBP","2600","Item Created"
"a064E000004DVfrQAG","87-43288afb30c336f477ffe97c4551904a","87","2015-02-02T00:00:00.000Z","a0758000002kNDHAA2","GBP","27397.5","Item Created"
"a064E000004DVfsQAG","87-ae77a90c00694a20ba84d91e06e64421","87","2015-03-12T00:00:00.000Z","a0758000002kNFHAA2","GBP","5130","Item Created"
"a064E000004DVftQAG","87-72d2875a34eeb18b745772d989a67d69","87","2015-03-23T00:00:00.000Z","a0758000002kNI9AAM","GBP","12500","Item Created"
"a064E000004DVfuQAG","87-e99007581f6245fda730bcb36fd70ca5","87","2015-03-24T00:00:00.000Z","a0758000002kNI9AAM","GBP","12500","Item Created"
"a064E000004DVfvQAG","87-5e7d2ce326fb0a177e29594020200143","87","2016-03-01T00:00:00.000Z","a0758000002kNI9AAM","GBP","2500","Item Created"
"a064E000004DVfwQAG","87-f45d0ed67050945566612f8b32e9e8da","87","2015-10-15T23:00:00.000Z","a074E000000Hz57QAC","GBP","8750","Item Created"
"a064E000004DVfxQAG","87-1ae7cff77df32668ced404f1a860e6e9","87","2015-12-25T00:00:00.000Z","a0758000002kNFHAA2","GBP","7500","Item Created"
"a064E000004DVfyQAG","87-fa3f655032e341ca129f674e9a5b5f75","87","2015-12-28T00:00:00.000Z","a0758000002kNFHAA2","GBP","7500","Item Created"
"a064E000004DVfzQAG","87-11995e84ba1aa66ec3b7038f0b9ad983","87","2016-01-30T00:00:00.000Z","a0758000002kNIPAA2","GBP","6000","Item Created"
"a064E000004DVg0QAG","87-7be57e8fd2e941eb29d110fb76738911","87","2015-12-22T00:00:00.000Z","a0758000002kNDHAA2","GBP","1645","Item Created"
"a064E000004DVg1QAG","87-92413fab0f848d2348c010826f276aea","87","2015-07-14T23:00:00.000Z","a0758000002kNFHAA2","GBP","10000","Item Created"
"a064E000004DVg2QAG","87-8d00a4814773b43213796bd65fb62a94","87","2016-03-31T23:00:00.000Z","a0758000002kNDHAA2","GBP","61875","Item Created"
"a064E000004DVg3QAG","87-49c23ac357c8932bd687897c4c90219a","87","2016-02-29T00:00:00.000Z","a0758000002kNCqAAM","GBP","2500","Item Created"
"a064E000004DVg4QAG","87-7246da9da3da38bfbe9d0203b973a2bd","87","2016-03-30T23:00:00.000Z","a0758000002kNCqAAM","GBP","2500","Item Created"
"a064E000004DVg5QAG","89-d9399a15b74f4128d034c4b4a4b63a49","89","2011-12-31T00:00:00.000Z","a0758000002kNGHAA2","GBP","98.28","Item Created"
"a064E000004DVg6QAG","89-9b182aab68c74067385007c5d07d6b3b","89","2012-12-31T00:00:00.000Z","a0758000002kNNlAAM","GBP","158.5","Item Created"
"a064E000004DVg7QAG","89-d136f9619f1f06cc48ec620743476ce7","89","2013-02-04T00:00:00.000Z","a0758000002kNNlAAM","GBP","150","Item Created"
"a064E000004DVg8QAG","89-6ae838cf01819fe5f6201e88c037a93d","89","2013-05-12T23:00:00.000Z","a0758000002kNNlAAM","GBP","155","Item Created"
"a064E000004DVg9QAG","89-c5b61c1ee0f2733a796092baa9e6ef59","89","2013-11-21T00:00:00.000Z","a0758000002kNDHAA2","GBP","300","Item Created"
"a064E000004DVgAQAW","89-8ca826b92d6710d064a6ec4d78cebff0","89","2014-12-31T00:00:00.000Z","a0758000002kNDHAA2","GBP","572.5","Item Created"
"a064E000004DVgBQAW","89-ba339ee0c2ecf9a572442fac18cc5ca1","89","2014-12-31T00:00:00.000Z","a0758000002kNHwAAM","GBP","229","Item Created"
"a064E000004DVgCQAW","89-611c5fcbdd0a541abd6941d9886b9d0c","89","2014-12-31T00:00:00.000Z","a0758000002kNNlAAM","GBP","229","Item Created"
"a064E000004DVgDQAW","89-97d0b8f98b577087f51f72ad02c1aca7","89","2014-12-07T00:00:00.000Z","a0758000002kNPNAA2","GBP","114.5","Item Created"
"a064E000004DVgEQAW","89-a8762b8fa3c0d890f3b6b12d04ea72cc","89","2015-12-31T00:00:00.000Z","a0758000002kNI9AAM","GBP","312.5","Item Created"
"a064E000004DVgFQAW","89-26badace8790c840f791292c4546d223","89","2015-12-31T00:00:00.000Z","a0758000002kNDHAA2","GBP","950","Item Created"
"a064E000004DVgGQAW","89-9e30a4c69165cdd53c5f22828b87834e","89","2015-12-31T00:00:00.000Z","a0758000002kNNlAAM","GBP","950","Item Created"
"a064E000004DVgHQAW","89-e5997e3bab3963faf49fabccefcc96f5","89","2015-12-31T00:00:00.000Z","a0758000002kNHwAAM","GBP","950","Item Created"
"a064E000004DVgIQAW","94-abd9181d3109f60d350eb290f1f2307d","94","2015-01-05T00:00:00.000Z","a0758000002kNGvAAM","GBP","10000","Item Created"
"a064E000004DVgJQAW","94-dd77c682d8b6d20435b596bed7064ffb","94","2015-01-05T00:00:00.000Z","a0758000002kNHjAAM","GBP","2500","Item Created"
"a064E000004DVgKQAW","94-3ea973d629f0c4bc0f5707f8dc6cccfd","94","2016-04-03T23:00:00.000Z","a0758000002kNF9AAM","GBP","6406","Item Created"
"a064E000004DVgLQAW","95-667ca76226b047af321e88831b3e199f","95","2013-09-30T23:00:00.000Z","a0758000002kNDHAA2","GBP","325","Item Created"
"a064E000004DVgMQAW","95-10690fca38034c6869720e8dd213c2f8","95","2013-11-01T00:00:00.000Z","a0758000002kNDHAA2","GBP","650","Item Created"
"a064E000004DVgNQAW","95-debb037251600710fed2659b679a92c5","95","2013-12-01T00:00:00.000Z","a0758000002kNF9AAM","GBP","625","Item Created"
"a064E000004DVgOQAW","95-ea6bfa0837d4ac644bb8d8117ef1c87d","95","2014-01-01T00:00:00.000Z","a0758000002kNF9AAM","GBP","625","Item Created"
"a064E000004DVgPQAW","95-80c55a3d6598e487579ac956b1b8f8ce","95","2014-01-01T00:00:00.000Z","a0758000002kNIAAA2","GBP","312.5","Item Created"
"a064E000004DVgQQAW","95-c5aee13360132ddf0cb0df171d46a92b","95","2014-02-01T00:00:00.000Z","a0758000002kNF9AAM","GBP","625","Item Created"
"a064E000004DVgRQAW","95-6ef2fa74b6ecc657078f7bd55c4f76b9","95","2014-02-01T00:00:00.000Z","a0758000002kNIAAA2","GBP","625","Item Created"
"a064E000004DVgSQAW","95-ebb906ae426a8291afd884bdcb0cf423","95","2014-03-01T00:00:00.000Z","a0758000002kNF9AAM","GBP","625","Item Created"
"a064E000004DVgTQAW","95-9d475cbc1eaf425589c76cd766e0fb4f","95","2014-03-01T00:00:00.000Z","a0758000002kNIAAA2","GBP","937.5","Item Created"
